"video_ID","X","audiofiles.j.","max_voltage_v","max_voltage_mv","max_SPL","RMS_SPL","shrimp_ID","collection_date","film_date","Strike_Video_File_Name","FrameStart","FrameEnd","Strike_duration_frames","Strike_Duration_Seconds","first_collapse_frame","second_collapse_frame","use_distance","bubble_formation","Temperature","acc_hr","Treatment","FrameRate","Calibration.ID","Pixels_per_mm","DactylLength_px","DactylLength_mm","BodyLength_mm","BodyLength_m","Hand","Cavitation","claw_length_mm","claw_length_m","sex","body_mass_g","max_bubble_f","max_b_length_px","max_b_width_px","max_b_length_mm","max_b_width_mm","max_size_mm2","abs_maxB","abs_c1","abs_c2","collapse_ms","rebound_ms","col_rate_mm2pms","use_bubble","use_SPL","growth_ms"
"Pistol212_strike1",44,"Pistol212_strike1_audio_r.csv",2.972152,2972.152,217.0795537,191.3978321,"Pistol212",61522,61722,"Pistol212_061722_C2_strike1_60kfps_33C_3h_C001H001S0001.avi",125,184,59,0.000983333,212,230,"N",1,33,3,"3h",60000,"C2",21.45006667,139.7726667,6.369387342,30,0.03,"L",1,17,0.017,"M",1.07,197,206.174,100.249,9.611811617,4.673598527,44.92174862,13,28,46,0.25,0.3,179.6869945,1,1,0.216666666666667
"Pistol212_strike10",45,"Pistol212_strike10_audio_r.csv",0.991745,991.745,207.5461338,186.3624914,"Pistol212",61522,61722,"Pistol212_061722_C3_strike10_60kfps_33C_3h_C001H001S0001.avi",113,167,54,9e-04,193,209,"N",1,33,3,"3h",60000,"C3",21.94444444,139.7726667,6.369387342,30,0.03,"L",1,17,0.017,"M",1.07,179,173.856,85.471,7.9225519,3.894881013,30.85739697,12,26,42,0.233333333,0.266666667,132.245987,1,1,0.2
"Pistol212_strike2",46,"Pistol212_strike2_audio_r.csv",1.866087,1866.087,213.0367711,190.1721592,"Pistol212",61522,61722,"Pistol204_061722_C3_strike2_60kfps_33C_3h_C001H001S0001.avi",91,150,59,0.000983333,176,192,"Y",1,33,3,"3h",60000,"C3",21.94444444,139.7726667,6.369387342,30,0.03,"L",1,17,0.017,"M",1.07,NA,NA,NA,NA,NA,NA,NA,26,42,NA,0.266666667,NA,0,1,NA
"Pistol212_strike3",47,"Pistol212_strike3_audio_r.csv",1.684966,1684.966,212.1499562,189.2686337,"Pistol212",61522,61722,"Pistol212_061722_C3_strike3_60kfps_33C_3h_C001H001S0001.avi",144,212,68,0.001133333,236,251,"N",1,33,3,"3h",60000,"C3",21.94444444,139.7726667,6.369387342,30,0.03,"L",1,17,0.017,"M",1.07,NA,NA,NA,NA,NA,NA,NA,24,39,NA,0.25,NA,0,1,NA
"Pistol212_strike4",48,"Pistol212_strike4_audio_r.csv",1.170413,1170.413,208.9849161,188.7001324,"Pistol212",61522,61722,"Pistol212_061722_C3_strike4_60kfps_33C_3h_C001H001S0001.avi",167,231,64,0.001066667,255,270,"Y",1,33,3,"3h",60000,"C3",21.94444444,139.7726667,6.369387342,30,0.03,"L",1,17,0.017,"M",1.07,242,176.182,82.669,8.028546837,3.767194937,30.245101,11,24,39,0.216666667,0.25,139.5927738,1,1,0.183333333333333
"Pistol212_strike5",49,"Pistol212_strike5_audio_r.csv",0.566145,566.145,202.6766869,182.6002258,"Pistol212",61522,61722,"Pistol212_061722_C3_strike5_60kfps_33C_3h_C001H001S0001.avi",81,150,69,0.00115,168,180,"Y",1,33,3,"3h",60000,"C3",21.94444444,139.7726667,6.369387342,30,0.03,"L",1,17,0.017,"M",1.07,158,95.542,63.001,4.353812659,2.870931646,12.49949854,8,18,30,0.166666667,0.2,74.99699127,1,1,0.133333333333333
"Pistol212_strike6",50,"Pistol212_strike6_audio_r.csv",0.905374,905.374,206.7546938,185.0711815,"Pistol212",61522,61722,"Pistol212_061722_C3_strike6_60kfps_33C_3h_C001H001S0001.avi",168,232,64,0.001066667,261,277,"N",1,33,3,"3h",60000,"C3",21.94444444,139.7726667,6.369387342,30,0.03,"L",1,17,0.017,"M",1.07,251,151.667,70.458,6.911407596,3.210744304,22.19076258,19,29,45,0.166666667,0.266666667,133.1445755,1,1,0.316666666666667
"Pistol212_strike7",51,"Pistol212_strike7_audio_r.csv",1.931832,1931.832,213.3375205,190.2164374,"Pistol212",61522,61722,"Pistol212_061722_C3_strike7_60kfps_33C_3h_C001H001S0001.avi",122,176,54,9e-04,205,224,"N",1,33,3,"3h",60000,"C3",21.94444444,139.7726667,6.369387342,30,0.03,"L",1,17,0.017,"M",1.07,192,199.778,96.098,9.103807597,4.379149368,39.86693328,16,29,48,0.216666667,0.316666667,184.0012305,1,1,0.266666666666667
"Pistol212_strike8",52,"Pistol212_strike8_audio_r.csv",1.193813,1193.813,209.1568595,186.4011451,"Pistol212",61522,61722,"Pistol212_061722_C3_strike8_60kfps_33C_3h_C001H001S0001.avi",123,185,62,0.001033333,211,228,"Y",1,33,3,"3h",60000,"C3",21.94444444,139.7726667,6.369387342,30,0.03,"L",1,17,0.017,"M",1.07,199,161.181,83.986,7.344956964,3.827210127,28.11069368,14,26,43,0.2,0.283333333,140.5534684,1,1,0.233333333333333
"Pistol212_strike9",53,"Pistol212_strike9_audio_r.csv",1.208638,1208.638,209.2640583,188.4205115,"Pistol212",61522,61722,"Pistol212_061722_C3_strike9_60kfps_33C_3h_C001H001S0001.avi",248,313,65,0.001083333,341,359,"N",1,33,3,"3h",60000,"C3",21.94444444,139.7726667,6.369387342,30,0.03,"L",1,17,0.017,"M",1.07,NA,NA,NA,NA,NA,NA,NA,28,46,NA,0.3,NA,0,1,NA
